Nr okrÍgu;Siedziba OKW;Nr listy (po nadaniu);Nazwa komitetu;Sygnatura;Typ;Pozycja na liúcie;Nazwisko;Imiona;P≥eÊ;ZawÛd;Miejsce zamieszkania;TERYT m. z.;Gmina m.z.;PrzynaleønoúÊ do partii;Poparcie;Liczba g≥osÛw;Procent g≥osÛw oddanych na listÍ;Procent g≥osÛw oddanych w okrÍgu;Czy przyznano mandat
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;1;ØUK;Stanis≥aw Adam;MÍøczyzna;menedøer;ZawidÛw;22501;m. ZawidÛw;nie naleøy do partii politycznej;;7694;0.24814552022189254;0.017792228214117235;Tak
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;2;SAMBORSKI;Tadeusz;MÍøczyzna;emeryt - historyk;RogÛw Legnicki;20907;gm. Prochowice;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;5703;0.18393214216603238;0.013188078698350739;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;3;SZCZ SNA;Mariola;Kobieta;wyøszy urzÍdnik samorzπdowy - burmistrz;Mojesz;21203;gm. LwÛwek ålπski;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;3474;0.11204283041991872;0.008033558723140533;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;4;ROJEK;Andrzej;MÍøczyzna;lekarz- specjalista ortopedii;Zgorzelec;22502;m. Zgorzelec;nie naleøy do partii politycznej;;3174;0.10236728375153197;0.007339814446530816;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;5;LASKOWSKI;Stanis≥aw;MÍøczyzna;przedstawiciel w≥adzy samorzπdowej - wicestarosta;Jawor;20501;m. Jawor;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;1382;0.044572018319035026;0.0031958486342487675;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;6;JURKOWSKI;Artur Andrzej;MÍøczyzna;wyøszy urzÍdnik samorzπdowy - wÛjt;Ruszowice;20302;gm. G≥ogÛw;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;1032;0.033283880539250466;0.00238648031153743;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;7;RAK;Zofia;Kobieta;emeryt - nauczyciel;GryfÛw ålπski;21201;gm. GryfÛw ålπski;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;1249;0.04028252596271689;0.0028882886716184593;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;8;PIOTROWSKI;Wiktor Marian;MÍøczyzna;emeryt - lekarz;Jawor;20501;m. Jawor;nie naleøy do partii politycznej;;395;0.012739469780042572;0.0009134299642027953;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;9;BRZOZOWSKA;Boøena Maria;Kobieta;radca prawny;DziwiszÛw;20606;gm. JeøÛw Sudecki;nie naleøy do partii politycznej;;703;0.022673031026252982;0.0016256740881887724;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;10;BURDYNA;Olga;Kobieta;emeryt - kucharz;ØeliszÛw;20102;gm. Boles≥awiec;nie naleøy do partii politycznej;;776;0.025027414048893762;0.001794485195497137;Nie
